ID,domain,begin,end,text,target_token,target_lemma,inc_mean,inc_std,abs_mean,abs_std,target_number,target_determiner,target_def,target_indef,target_dem,target_poss,target_quant,target_amod,main_verb,main_verb_habituality,main_verb_tense,main_verb_prog,main_verb_diat
OROLOGIO_1,wikihow,8,15,Un bell'orologio d'oro è più efficace di un milione di catenine. ,orologio,orologio,0.580666667,0.299915861,0.598666667,0.382451989,SINGULAR,1,0,1,0,0,0,1,è,STATIC,PRES,0,0
OROLOGIO_2,wikihow,17,24,"Molti anni fa, l'orologio da taschino era un accessorio comune tra gli uomini.",orologio,orologio,0.812,0.181745505,0.718,0.27844466,SINGULAR,1,1,0,0,0,0,0,era,STATIC,PAST,0,0
OROLOGIO_3,wikihow,4,10,Gli orologi automatici sono tornati di moda dopo il successo di quelli al quarzo. ,orologi,orologio,0.748,0.203582205,0.692,0.297350202,PLURAL,1,1,0,0,0,0,1,sono tornati,EPISODIC,PAST,0,0
OROLOGIO_4,wikihow,4,10,Gli orologi possono subire gravi danni dalle temperature estreme. ,orologi,orologio,0.88,0.160267633,0.683333333,0.330727913,PLURAL,1,1,0,0,0,0,0,possono,STATIC,PRES,0,0
OROLOGIO_5,opensub,7,13,Questi orologi sono stupendi.,orologi,orologio,0.212666667,0.133922508,0.2,0.289334211,PLURAL,1,0,0,1,0,0,0,sono tornati,STATIC,PRES,0,0
OROLOGIO_6,opensub,6,13,Quell'orologio non batte più un colpo da vent'anni.,orologio,orologio,0.011333333,0.020307165,0.16,0.263221797,SINGULAR,1,0,0,1,0,0,0,batte,HABITUAL,PRES,0,0
OROLOGIO_7,opensub,7,14,Il tuo orologio va 2 minuti indietro.,orologio,orologio,0.02,0.060827625,0.049333333,0.083106358,SINGULAR,1,1,0,0,1,0,0,va,HABITUAL,PRES,0,0
MARGHERITA_1,wikihow,21,30,"Viole, rose, gerani, margherite e nasturzi sono tutti esempi di fiori commestibili.",margherite,margherita,0.963333333,0.06862597,0.606,0.364981409,PLURAL,0,0,0,0,0,0,0,sono,STATIC,PRES,0,0
MARGHERITA_2,opensub,3,12,La margherita mi ha detto che tu non mi ami.,margherita,margherita,0.019333333,0.039904648,0.356,0.409333954,SINGULAR,1,1,0,0,0,0,0,ha detto,EPISODIC,PAST,0,0
MARGHERITA_3,opensub,4,13,Una margherita è fiorita nel solaio.,margherita,margherita,0.043333333,0.065210283,0.105333333,0.108750479,SINGULAR,1,0,1,0,0,0,0,è fiorita,EPISODIC,PAST,0,0
